代码,名称,涨停次数,最大连板,平均连板,炸板率,平均封板资金,涨停次数_norm,最大连板_norm,平均连板_norm,平均封板资金_norm,封板质量_norm,综合评分
001259,利仁科技,1,8,8.0,0.0,18736834.0,0.25,1.0,1.0,0.015512072021218928,1.0,66.48
603779,威龙股份,2,7,6.5,0.5,296305399.5,0.5,0.875,0.8125,0.24530882310853833,0.5,60.24
600162,香江控股,4,5,3.5,0.5,88285537.0,1.0,0.625,0.4375,0.07309087588522097,0.5,58.28
300069,金利华电,3,3,2.0,0.0,389119148.0,0.75,0.375,0.25,0.32214856835532335,1.0,56.71
600726,华电能源,4,5,3.5,0.75,187250902.25,1.0,0.625,0.4375,0.1550234944569731,0.25,54.51
000509,华塑控股,3,4,3.0,0.4,138580487.66666666,0.75,0.5,0.375,0.11472965525664446,0.6,50.6
600611,大众交通,3,3,2.0,0.25,125785372.0,0.75,0.375,0.25,0.10413668337349921,0.75,48.44
002484,江海股份,2,2,1.5,0.0,447842486.5,0.5,0.25,0.1875,0.37076514125864407,1.0,47.12
603663,三祥新材,3,1,1.0,0.0,91410541.0,0.75,0.125,0.125,0.07567804120432436,1.0,44.89
603986,兆易创新,1,1,1.0,0.0,1061124823.0,0.25,0.125,0.125,0.8784965847420747,1.0,44.43
000539,粤电力Ａ,3,3,2.0,0.5,161782538.33333334,0.75,0.375,0.25,0.13393844373079672,0.5,43.88
002251,步步高,3,2,1.3,0.25,88130166.0,0.75,0.25,0.1625,0.07296224550177365,0.75,43.53
603938,三孚股份,1,3,3.0,0.0,147954885.0,0.25,0.375,0.375,0.12249064233643549,1.0,43.09
002995,天地在线,2,2,1.5,0.0,74196446.0,0.5,0.25,0.1875,0.06142663237932732,1.0,42.48
002579,中京电子,3,3,2.0,0.571,154479268.33333334,0.75,0.375,0.25,0.12789212607486788,0.42900000000000005,42.37
000725,京东方Ａ,2,2,1.5,0.714,1207887249.0,0.5,0.25,0.1875,1.0,0.28600000000000003,42.28
603661,恒林股份,2,2,1.5,0.0,55101002.0,0.5,0.25,0.1875,0.045617670064501195,1.0,42.25
600584,长电科技,1,2,2.0,0.0,476572498.0,0.25,0.25,0.25,0.3945504834118834,1.0,42.17
000012,南  玻Ａ,2,2,1.5,0.0,43896437.0,0.5,0.25,0.1875,0.03634150210323149,1.0,42.11
000518,四环生物,3,3,2.0,0.571,52134057.333333336,0.75,0.375,0.25,0.04316136077808148,0.42900000000000005,41.1
603011,合锻智能,3,3,2.0,0.667,121520055.66666667,0.75,0.375,0.25,0.10060546277582791,0.33299999999999996,40.04
002938,鹏鼎控股,1,1,1.0,0.0,684022674.0,0.25,0.125,0.125,0.5662967918291189,1.0,39.74
001366,播恩集团,2,1,1.0,0.0,168379521.0,0.5,0.125,0.125,0.13940003186506028,1.0,39.59
002975,博杰股份,2,1,1.0,0.0,122285102.5,0.5,0.125,0.125,0.10123883880820733,1.0,39.02
600530,交大昂立,3,1,1.0,0.25,18930033.666666668,0.75,0.125,0.125,0.015672020449208887,0.75,38.99
603316,诚邦股份,2,4,3.5,0.667,24431151.5,0.5,0.5,0.4375,0.020226351027570123,0.33299999999999996,38.53
001269,欧晶科技,2,1,1.0,0.0,81056988.0,0.5,0.125,0.125,0.06710641913564898,1.0,38.51
002552,宝鼎科技,3,3,1.7,0.7,95227931.33333333,0.75,0.375,0.2125,0.07883842752059164,0.30000000000000004,38.5
000063,中兴通讯,1,1,1.0,0.0,583672888.0,0.25,0.125,0.125,0.48321802261197644,1.0,38.5
605580,恒盛能源,2,1,1.0,0.0,63551356.0,0.5,0.125,0.125,0.052613649206590805,1.0,38.29
600520,三佳科技,1,2,2.0,0.0,140221606.0,0.25,0.25,0.25,0.11608832373724312,1.0,37.99
002388,新亚制程,1,2,2.0,0.0,137522348.0,0.25,0.25,0.25,0.11385363005847908,1.0,37.96
603324,盛剑科技,3,2,1.3,0.5,34541643.0,0.75,0.25,0.1625,0.0285967444631912,0.5,37.87
000608,阳光股份,2,1,1.0,0.0,26337512.0,0.5,0.125,0.125,0.02180461133421568,1.0,37.83
002442,龙星科技,3,3,2.0,0.727,35008776.666666664,0.75,0.375,0.25,0.028983480615140316,0.273,37.77
002072,凯瑞德,2,1,1.0,0.0,11936695.5,0.5,0.125,0.125,0.009882292829800375,1.0,37.65
