代码,涨停次数,名称,最大连板数,平均连板数,连板总次数,总炸板次数,平均炸板次数,炸板率,平均封板资金,最大封板资金,平均换手率,最大换手率,涨停次数_归一,最大连板数_归一,平均连板数_归一,平均封板资金_归一,封板质量_归一,综合评分
601991,1,大唐发电,4,4.0,4,0,0.0,0.0,673522727,673522727,2.25,2.2451579570770264,50.0,80.0,80.0,94.8,100.0,78.72
603045,1,福达合金,5,5.0,5,0,0.0,0.0,141375140,141375140,0.4,0.40156474709510803,50.0,100.0,100.0,19.9,100.0,75.48
600584,2,长电科技,1,1.0,2,0,0.0,0.0,557036546,606467276,12.24,15.37592601776123,100.0,20.0,20.0,78.4,100.0,64.76
603459,1,红板科技,3,3.0,3,0,0.0,0.0,313655964,313655964,3.32,3.3151681423187256,50.0,60.0,60.0,44.15,100.0,63.12
002585,2,双星新材,2,1.5,3,0,0.0,0.0,170141484,209145224,5.91,6.904488563537598,100.0,40.0,30.0,23.95,100.0,63.09
605006,1,山东玻纤,3,3.0,3,0,0.0,0.0,106019409,106019409,2.97,2.9697909355163574,50.0,60.0,60.0,14.92,100.0,58.74
603661,1,恒林股份,3,3.0,3,0,0.0,0.0,44586173,44586173,0.99,0.9850501418113708,50.0,60.0,60.0,6.28,100.0,57.44
000636,2,风华高科,2,1.5,3,3,1.5,0.6,448261990,795745469,3.51,6.260205268859863,100.0,40.0,30.0,63.09,40.0,56.96
600172,2,黄河旋风,2,1.5,3,1,0.5,0.333,182952950,223075149,10.17,14.809863090515137,100.0,40.0,30.0,25.75,66.7,56.7
002552,2,宝鼎科技,3,2.5,5,3,1.5,0.6,53742789,62297118,10.64,11.27158260345459,100.0,60.0,50.0,7.56,40.0,56.63
002185,1,华天科技,1,1.0,1,0,0.0,0.0,710466936,710466936,8.92,8.916873931884766,50.0,20.0,20.0,100.0,100.0,55.5
002938,1,鹏鼎控股,2,2.0,2,0,0.0,0.0,179098284,179098284,0.91,0.9054148197174072,50.0,40.0,40.0,25.21,100.0,52.28
600545,1,卓郎智能,2,2.0,2,0,0.0,0.0,156919700,156919700,2.96,2.9601035118103027,50.0,40.0,40.0,22.09,100.0,51.81
603256,1,宏和科技,2,2.0,2,0,0.0,0.0,148715473,148715473,2.32,2.3236172199249268,50.0,40.0,40.0,20.93,100.0,51.64
002281,1,光迅科技,2,2.0,2,0,0.0,0.0,100667256,100667256,9.88,9.882230758666992,50.0,40.0,40.0,14.17,100.0,50.63
002030,1,达安基因,2,2.0,2,0,0.0,0.0,97548388,97548388,12.16,12.160968780517578,50.0,40.0,40.0,13.73,100.0,50.56
000518,1,四环生物,4,4.0,4,3,3.0,0.75,37004178,37004178,31.32,31.316387176513672,50.0,80.0,80.0,5.21,25.0,50.28
600076,1,康欣新材,2,2.0,2,0,0.0,0.0,66082357,66082357,4.65,4.6493988037109375,50.0,40.0,40.0,9.3,100.0,49.9
002918,1,蒙娜丽莎,2,2.0,2,0,0.0,0.0,57435468,57435468,3.58,3.5827646255493164,50.0,40.0,40.0,8.08,100.0,49.71
605580,1,恒盛能源,2,2.0,2,0,0.0,0.0,47499795,47499795,7.05,7.047299861907959,50.0,40.0,40.0,6.69,100.0,49.5
600530,1,交大昂立,2,2.0,2,0,0.0,0.0,45838210,45838210,1.78,1.7814290523529053,50.0,40.0,40.0,6.45,100.0,49.47
600330,1,天通股份,1,1.0,1,0,0.0,0.0,407322454,407322454,10.71,10.708460807800293,50.0,20.0,20.0,57.33,100.0,49.1
600396,2,华电辽能,1,1.0,2,1,0.5,0.333,111976100,135028385,17.43,18.657251358032227,100.0,20.0,20.0,15.76,66.7,48.7
000988,1,华工科技,1,1.0,1,0,0.0,0.0,380062365,380062365,10.85,10.852076530456543,50.0,20.0,20.0,53.49,100.0,48.52
300449,1,汉邦高科,1,1.0,1,0,0.0,0.0,373216358,373216358,2.2,2.195451259613037,50.0,20.0,20.0,52.53,100.0,48.38
002491,1,通鼎互联,3,3.0,3,2,2.0,0.667,211286646,211286646,7.42,7.422080039978027,50.0,60.0,60.0,29.74,33.3,47.62
002975,2,博杰股份,2,1.5,3,9,4.5,0.818,114701568,155462844,6.83,8.701913833618164,100.0,40.0,30.0,16.14,18.2,45.56
000062,1,深圳华强,1,1.0,1,0,0.0,0.0,237214303,237214303,8.32,8.323530197143555,50.0,20.0,20.0,33.39,100.0,45.51
600234,2,科新发展,2,2.0,4,8,4.0,0.8,5371304,6510524,4.55,4.910851001739502,100.0,40.0,40.0,0.76,20.0,45.11
688110,1,东芯股份,1,1.0,1,0,0.0,0.0,213038750,213038750,7.3,7.298753261566162,50.0,20.0,20.0,29.99,100.0,45.0
603083,1,剑桥科技,1,1.0,1,0,0.0,0.0,189640539,189640539,12.12,12.118490219116211,50.0,20.0,20.0,26.69,100.0,44.5
002718,2,友邦吊顶,1,1.0,2,2,1.0,0.5,64087940,111175417,2.54,2.571331024169922,100.0,20.0,20.0,9.02,50.0,44.35
300868,1,杰美特,1,1.0,1,0,0.0,0.0,161117595,161117595,3.6,3.604274272918701,50.0,20.0,20.0,22.68,100.0,43.9
002957,1,科瑞技术,1,1.0,1,0,0.0,0.0,141577366,141577366,6.52,6.519266128540039,50.0,20.0,20.0,19.93,100.0,43.49
601608,1,中信重工,1,1.0,1,0,0.0,0.0,134925148,134925148,0.9,0.9013035893440247,50.0,20.0,20.0,18.99,100.0,43.35
