序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,trade_date
1,603311,金海高科,-100.0,0.0,0,0.0,0.0,0.0,0,000000,000000,0,1/1,1,家电零部,20260511
2,002918,蒙娜丽莎,10.025928497314453,12.73,97689765,2726658813.4,5204107101.440001,3.5827646255493164,57435468,092500,092500,0,2/2,2,家居用品,20260511
3,300449,汉邦高科,19.949811935424805,9.56,81023218,3690504054.84,3690504007.04,2.195451259613037,373216358,092500,092500,0,1/1,1,计算机设,20260511
4,603459,红板科技,10.006169319152832,89.16,233661790,7048263659.28,67204669549.439995,3.3151681423187256,313655964,092501,092501,0,3/3,3,元件,20260511
5,600172,黄河旋风,10.011248588562012,9.78,690435920,12481781235.0,14104564214.4,5.531549453735352,223075149,092501,092501,0,1/1,1,通用设备,20260511
6,603045,福达合金,9.993562698364258,68.35,37175565,9257676344.25,9257676344.25,0.40156474709510803,141375140,092502,092502,0,5/5,5,金属新材,20260511
7,002491,通鼎互联,10.01936149597168,22.73,1981928928,26741137437.83,27957774894.08,7.422080039978027,211286646,093000,093748,2,3/3,3,通信设备,20260511
8,002108,沧州明珠,10.085470199584961,6.44,513482672,10609888446.640001,10616972459.52,4.846920013427734,118407920,093003,093100,1,1/1,1,塑料,20260511
9,600530,交大昂立,10.084033966064453,6.55,90086496,5075726000.0,5075726000.0,1.7814290523529053,45838210,093025,093025,0,2/2,2,食品加工,20260511
10,688545,兴福电子,20.0,75.6,2028367872,13778099999.999998,27215999999.999996,14.957512855529785,62501166,093058,140046,5,1/1,1,电子化学,20260511
11,600545,卓郎智能,9.981851577758789,6.06,317387280,10834748065.32,10834748077.439999,2.9601035118103027,156919700,093111,093111,0,6/3,2,专用设备,20260511
12,601991,大唐发电,9.9277982711792,6.09,1681210720,75492182655.54,112705867115.52,2.2451579570770264,673522727,093125,093125,0,4/4,4,电力,20260511
13,605006,山东玻纤,10.020174980163574,16.36,289373760,9816791398.64,9816791300.48,2.9697909355163574,106019409,093142,093142,0,8/5,3,玻璃玻纤,20260511
14,600683,京投发展,9.982587814331055,18.95,912841744,14037735463.15,14037735520.0,6.516562461853027,25493510,093217,131856,17,2/2,2,房地产开,20260511
15,600076,康欣新材,10.0,3.96,243837284,5324391733.32,5324391705.6,4.6493988037109375,66082357,093240,093240,0,2/2,2,包装印刷,20260511
16,603738,泰晶科技,9.997873306274414,51.71,1343871856,19954242211.32,19954242004.48,6.771122932434082,87449314,093312,094230,5,6/4,3,元件,20260511
17,300302,同有科技,20.0,42.6,2773628000,15711471927.0,20416637539.2,17.90378189086914,115761240,093315,100921,2,1/1,1,计算机设,20260511
18,002865,钧达股份,9.996892929077148,106.18,2767724192,23734241052.440002,33050228976.640003,11.701151847839355,17944420,093333,143736,39,2/2,2,光伏设备,20260511
19,603269,海鸥股份,10.017783164978027,18.56,354591952,5730432814.08,5730432962.559999,6.2447943687438965,52441280,093413,103537,1,4/2,1,通用设备,20260511
20,001331,胜通能源,10.00200080871582,54.99,329979984,10840013730.0,15520377600.0,3.0622689723968506,105630291,093424,093424,0,1/1,1,燃气Ⅱ,20260511
21,600234,科新发展,9.996504783630371,31.47,342212608,8261535020.309999,8261535020.309999,4.188771724700928,4232085,093446,140428,8,2/2,2,装修装饰,20260511
22,002975,博杰股份,10.005216598510742,105.44,707220976,14482609872.16,16902305405.92,4.949163436889648,155462844,093557,093557,0,1/1,1,自动化设,20260511
23,688766,普冉股份,20.0,381.0,3888487856,56406707862.0,56406707862.0,7.050681114196777,58146696,093602,142805,8,1/1,1,半导体,20260511
